"allele_freqs_filter$Chr_new","allele_freqs_filter$Dataset","Da02_fw_allele_freq_Median","Mi17_fw_allele_freq_Median","Mi23_fw_allele_freq_Median","Da02_fw_allele_freq_Mean","Mi17_fw_allele_freq_Mean","Mi23_fw_allele_freq_Mean","Da02_fw_allele_freq_SD","Mi17_fw_allele_freq_SD","Mi23_fw_allele_freq_SD"
"groupXIX","FW2",0.035,0.02,0,0.0721774193548387,0.0639516129032258,0.0524193548387097,0.0874718118021617,0.0861159980452448,0.0885247100077465
"groupXIX","SW",0.035,0.02,0,0.0664035087719298,0.055,0.0408885116015846,0.0795577064786683,0.0754133154130815,0.0669048172241453
"groupXV","FW1",0.07,0.08,0.112903225806452,0.135789473684211,0.128421052631579,0.126485568760611,0.140250402632565,0.116536267978625,0.0893611073158509
"groupXV","FW2",0.01,0.04,0.0645161290322581,0.01,0.04,0.0645161290322581,NA,NA,NA
"groupXVI","FW1",0.03,0.05,0.032258064516129,0.0814141414141414,0.0886868686868687,0.0778755294884327,0.104324944685795,0.102704713091052,0.106939264573028
"groupXVI","FW2",0.01,0.01,0.0161290322580645,0.0433333333333333,0.0466666666666667,0.0392886683209264,0.076479558098995,0.0706113653194775,0.069402683362358
"groupXVI","SW",0.075,0.075,0.0725806451612903,0.0927272727272727,0.0995454545454545,0.0835777126099707,0.0813681708088563,0.0853272285424526,0.0768921442939994
"groupXVII","FW1",0.05,0.04,0.0483870967741935,0.0771698113207547,0.0849056603773585,0.076080340839927,0.100276106489313,0.0894990898430179,0.0919157480933724
"groupXVII","FW2",0.02,0.01,0,0.0452941176470588,0.0447058823529412,0.0426944971537002,0.0535160778480196,0.0647222572863099,0.0828216729837244
"groupXVII","SW",0.07,0.145,0.129032258064516,0.136428571428571,0.157857142857143,0.1463133640553,0.142645722676154,0.130571440594416,0.117244485326183
"groupXVIII","FW1",0.09,0.095,0.0887096774193548,0.123611111111111,0.12625,0.112903225806452,0.113712084602577,0.107092660944478,0.0996836608059894
"groupXVIII","FW2",0.205,0.2,0.209677419354839,0.188333333333333,0.21,0.196236559139785,0.112679486450137,0.157480157480236,0.131594190109673
"groupXVIII","SW",0.115,0.115,0.112903225806452,0.145,0.141666666666667,0.134408602150538,0.0903025218614932,0.0840814900539766,0.0681988963149819
"groupXX","FW1",0.12,0.02,0.0161290322580645,0.11068,0.06384,0.051741935483871,0.0951891880735644,0.0816229355907873,0.0824780949277242
"groupXX","FW2",0.13,0.02,0.0161290322580645,0.113636363636364,0.0435406698564593,0.0335699953696558,0.0918568169771566,0.0698962109785969,0.0670972627981087
"groupXX","SW",0.14,0.02,0,0.122777777777778,0.0444444444444444,0.0293138760880696,0.0902231800715438,0.0772482290339972,0.0594599627850957
"groupXXI","FW1",0.03,0.02,0,0.0617587939698492,0.0564824120603015,0.0360674339439131,0.0761406335097458,0.0856861105289936,0.0753726024582955
"groupXXI","FW2",0.03,0.02,0,0.0586021505376344,0.050752688172043,0.0351196670135276,0.0779340178002219,0.082117076067794,0.0839609968925985
"groupXXI","SW",0.03,0.02,0,0.0478947368421053,0.0415789473684211,0.0254668930390492,0.0610572587518298,0.0699110623574284,0.0713755329512362
"scaffold","FW1",0.02,0.02,0,0.0609968847352025,0.0705607476635514,0.0582855994372425,0.090077761491196,0.0878475075311716,0.0935540342100876
"scaffold","FW2",0.02,0.02,0,0.0471084337349398,0.0473493975903614,0.0353672755538282,0.0787713241236848,0.075728131554435,0.0798872629529276
"scaffold","SW",0.03,0.02,0,0.0535087719298246,0.0557017543859649,0.0449915110356537,0.0724414008667726,0.0758196427516207,0.0808724653961596
