"allele_freqs_filter$Dataset","Da02_fw_allele_freq_Median","Mi17_fw_allele_freq_Median","Mi23_fw_allele_freq_Median","Da02_fw_allele_freq_Mean","Mi17_fw_allele_freq_Mean","Mi23_fw_allele_freq_Mean","Da02_fw_allele_freq_SD","Mi17_fw_allele_freq_SD","Mi23_fw_allele_freq_SD"
"FW1",0.03,0.03,0.0161290322580645,0.0729092208720515,0.0725947105075054,0.0586747830631711,0.0918916996497857,0.0914091614426931,0.0924041467291204
"FW2",0.03,0.02,0,0.060202846975089,0.0496690391459075,0.0362644931695557,0.0801466801828396,0.0758570168694539,0.0779173342349188
"SW",0.03,0.02,0,0.0640321769733534,0.0543489190548014,0.0414051476670073,0.0810471642150459,0.0809559393111245,0.0809918956083988
