"allele_freqs_filter$Case","Da02_fw_allele_freq_Median","Mi17_fw_allele_freq_Median","Mi23_fw_allele_freq_Median","Da02_fw_allele_freq_Mean","Mi17_fw_allele_freq_Mean","Mi23_fw_allele_freq_Mean","Da02_fw_allele_freq_SD","Mi17_fw_allele_freq_SD","Mi23_fw_allele_freq_SD"
1,0.04,0.03,0,0.0830141287284144,0.0733176347462062,0.0559958474705018,0.099352624805575,0.0992390999098007,0.0998655162399411
2,0.02,0.02,0,0.0464894096439838,0.0451013970256872,0.0355943537484191,0.0611450814305929,0.0598727227371155,0.0633080045717885
3,0.05,0.03,0.0161290322580645,0.107241847826087,0.0977853260869565,0.0795275245441795,0.107429463972274,0.11085499557028,0.112634034448112
